30,2,37
38,-4,17
30,-19,5
19,-46,1
19,-64,-2
3,-74,-14
-11,-84,-11
-12,-73,-14
-9,-89,-35
2,-113,-35
52,-84,29
28,-109,21
-6,-101,-7
5,-67,-16
9,-48,-2
7,-36,15
26,-33,21
30,-31,20
22,-28,18
15,-26,14
16,-43,14
17,-66,17
17,-74,13
23,-80,6
24,-87,4
29,-118,5
40,-128,6
33,-121,-7
20,-115,-20
19,-110,-13
15,-78,9
13,-57,9
9,-50,5
6,-43,1
3,-40,1
2,-36,-2
1,-34,-3
-4,-33,-7
-4,-41,-10
3,-49,-9
7,-51,-4
15,-53,4
31,-94,-1
60,-98,-3
89,-97,14
116,-94,33
99,-78,32
55,-33,24
47,-9,32
46,-5,30
55,-1,21
52,-4,18
41,-8,14
55,-12,6
63,-19,10
66,-21,6
75,-24,3
71,-18,-3
92,-11,15
98,2,4
104,-10,-17
88,-15,-14
47,-11,-17
37,-6,-26
63,-8,-17
48,3,1
31,3,-3
24,6,-11
23,4,-8
24,5,-2
23,0,-2
31,5,-8
56,10,-24
61,7,-23
86,4,-28
95,8,-48
95,0,-62
106,-6,-49
102,-4,-33
62,2,-44
57,5,-24
45,9,-21
33,12,-23
33,14,-19
19,12,-14
30,7,-13
33,10,-14
32,12,-13
47,11,-9
67,6,-17
67,9,-31
78,11,-32
79,23,-45
90,24,-75
83,9,-73
66,16,-64
48,10,-59
55,-1,-41
46,-4,-34
31,4,-21
24,6,-17
31,7,-11
27,3,-3
26,7,-10
39,6,-14
38,7,-14
55,7,-29
71,4,-33
75,3,-34
91,14,-48
86,10,-64
87,-8,-43
77,-8,-48
75,-5,-43
58,-3,-25
44,3,-26
34,9,-17
29,11,-11
28,12,-12
29,11,-9
32,11,-10
38,9,-16
54,14,-25
61,8,-30
66,9,-30
75,11,-34
93,10,-53
90,1,-59
84,4,-50
75,9,-51
59,4,-47
49,3,-32
44,3,-28
36,5,-15
32,6,-12
31,8,-10
29,8,-11
26,8,-15
31,8,-15
50,8,-20
59,6,-30
75,-3,-34
77,-5,-30
93,13,-38
90,-4,-62
96,-14,-50
80,-7,-43
73,-2,-37
52,0,-19
37,8,-14
33,11,-15
29,13,-8
28,12,-7
29,12,-10
37,11,-15
40,14,-20
59,12,-26
63,9,-29
71,9,-36
83,18,-43
92,14,-58
90,-4,-49
81,5,-43
72,6,-46
61,3,-42
47,1,-32
39,0,-17
32,2,-15
24,7,-8
25,6,-4
27,9,-15
32,9,-20
39,7,-17
58,-3,-18
65,-8,-22
85,-9,-27
80,1,-29
88,-4,-44
101,-34,-18
92,-34,-4
77,-35,-21
47,-28,-2
33,-25,2
13,-12,0
8,-10,-6
12,-5,-4
9,-9,-4
6,-13,-5
42,-33,-9
59,-46,-11
53,-62,-5
49,-73,-12
52,-78,-19
53,-100,-23
64,-119,-20
92,-101,-12
66,-106,-21
65,-107,-15
51,-78,-6
39,-65,-2
27,-44,4
19,-38,6
-1,-26,6
-2,-19,2
5,-21,2
4,-21,1
-5,-27,-5
-6,-46,-4
-1,-68,-9
6,-72,-10
9,-85,-12
3,-111,-20
34,-127,-14
54,-113,18
39,-109,20
12,-74,11
18,-57,5
7,-36,2
11,-26,11
13,-23,14
17,-22,15
18,-21,12
21,-28,11
26,-48,14
28,-61,13
27,-87,3
27,-90,0
29,-128,4
40,-128,13
35,-100,0
17,-108,-20
16,-109,-12
14,-98,3
15,-80,2
11,-54,-1
6,-45,0
7,-43,-2
7,-39,-5
7,-38,-5
3,-34,-7
-6,-42,-7
-7,-46,-7
-4,-57,-8
-1,-56,-4
2,-72,-2
16,-94,-12
34,-94,0
26,-111,12
17,-118,9
20,-109,14
17,-73,11
10,-63,9
16,-55,15
19,-49,16
25,-43,17
30,-39,18
31,-41,19
33,-55,20
31,-60,18
32,-71,13
33,-79,11
30,-94,5
42,-128,15
38,-128,5
15,-127,-28
4,-128,-25
-10,-96,-7
13,-63,14
26,-62,13
12,-56,-3
0,-49,-7
4,-49,-3
-4,-35,-9
-5,-34,-8
-3,-35,-7
-2,-40,-3
-4,-50,-4
0,-51,-3
2,-59,0
13,-92,-11
25,-102,-5
26,-117,14
14,-128,9
18,-128,9
23,-84,19
17,-66,20
12,-51,18
16,-44,20
16,-43,20
22,-38,18
25,-41,19
30,-55,20
29,-68,14
29,-68,11
24,-79,5
23,-95,0
34,-128,10
33,-124,2
18,-128,-19
30,-128,-10
45,-120,3
60,-102,9
67,-102,4
68,-105,6
40,-68,-9
51,-75,-5
60,-68,-12
50,-69,-16
16,-64,-21
2,-32,-10
5,-21,-6
1,23,21
-3,32,25
33,73,28
41,61,64
44,69,55
17,57,25
23,47,37
10,38,21
2,20,18
1,17,25
17,24,19
17,30,21
20,37,39
25,59,27
35,63,44
35,66,64
36,69,40
13,82,28
2,70,52
-4,70,5
3,87,-1
-31,76,6
-32,61,9
-31,52,12
-36,37,12
-5,19,20
-17,14,15
-9,16,9
-7,14,17
-14,13,10
-31,31,11
-27,38,20
-36,60,25
-36,77,30
-28,80,39
-53,68,22
-52,89,26
-11,64,44
-4,48,33
-5,30,17
-12,14,8
-5,6,5
1,-5,-2
0,-10,3
23,-17,9
25,-17,3
51,-13,24
70,-9,41
49,-3,29
93,-47,39
49,-43,37
86,-76,31
81,-100,35
90,-122,30
55,-128,-6
47,-128,-22
63,-128,5
60,-69,32
36,-49,26
17,-46,11
10,-55,16
-15,-43,14
-7,-25,15
-17,-13,6
-13,-24,-1
-11,-28,0
-13,-60,-10
-1,-72,-21
2,-86,-25
15,-128,-40
44,-128,-14
80,-123,35
13,-107,9
18,-82,2
15,-45,-6
5,-33,-4
18,-26,24
14,-9,26
19,-5,29
25,-7,30
22,-14,28
19,-46,31
16,-69,26
8,-95,-6
21,-103,-12
25,-128,-14
50,-124,-3
69,-111,-2
79,-113,-13
69,-98,-18
61,-85,-14
43,-60,-3
37,-51,-2
23,-53,17
6,-28,2
14,-30,0
5,-17,0
4,-15,3
11,-12,4
34,-13,15
34,-15,15
42,-9,17
61,-11,23
84,-12,7
113,-16,11
